"BA","gBA","YEAR"
0.005674515,8.10925499999999e-05,86
0.026880315,0.00152989375,86
0.0518748846,0.000483806400000001,86
0.0076977054,0.00071569575,86
0.02269806,0.00142190125,86
0.1590435,0.0010814958,86
0.0126677166,0.00066202675,86
0.0022061886,0.00049709275,86
0.0096769134,2.93216e-05,86
0.0183854286,0.00054159875,86
0.0819399966,0.0014200032,86
0.0483052416,0.00159338025,86
0.05725566,0.00123759405,86
0.0459961656,0.00140881125,86
0.0111220494,0.000565488,86
0.0167415864,0.000365211,86
0.0025517646,0.00039054015,86
0.0678868344,0.0010448438,86
0.0136848096,0.000493493,86
0.0304805886,0.000743970149999999,86
0.0456168174,0.00256976335,86
0.0430053624,0.00028097685,86
0.0304805886,0.0010744272,86
0.0243285504,0.0005385226,86
0.0034212024,0.00055063085,86
0.0022061886,0.00060809595,86
0.0167415864,0.0014912128,86
0.0065038974,0.0001523676,86
0.1720214496,0.00106035545,86
0.0356328126,0.0009592352,86
0.0006157536,0.00010583265,98
1.9635e-05,4.260795e-05,98
0.0002010624,2.0944e-05,98
0.0029224734,0.00066778635,98
0.0009079224,6.891885e-05,98
0.0066476256,0.000267036,98
0.04523904,0.00177245145,98
0.0162860544,0.00083468385,98
0.039760875,0.00181787375,98
0,5.30145e-06,98
0.0025517646,0.00096257315,98
0.0016619064,0.00012127885,98
1.9635e-05,7.402395e-05,98
0,0,98
1.9635e-05,7.78855e-06,98
1.9635e-05,9.79132e-05,98
0.0021237216,0.0002010624,98
0.0016619064,0.00037993725,98
7.854e-05,1.237005e-05,98
0.0022902264,7.7231e-05,98
0,0,98
1.9635e-05,-1.63625e-06,98
0.002375835,0.0001136212,98
0.0027339774,0.0002230536,98
1.9635e-05,-5.8905e-07,98
1.9635e-05,2.345728e-06,98
0.0014522046,5.595975e-05,98
0.0022902264,8.567405e-05,98
0,0,98
0.0013854456,0.00025270245,98
0.00125664,5.242545e-05,98
0,0.00012101705,98
1.9635e-05,6.2832e-06,98
0.0006605214,3.45576e-05,98
0.0009079224,6.891885e-05,98
0.0014522046,2.977975e-05,98
0.000490875,0.0001293292,98
0.0008553006,0.00013397615,98
0.0008553006,0.0004016012,98
0.0206120376,0.00092657565,98
0.0081713016,0.00077211365,98
0.0248846136,0.000923630399999999,98
0.0089920446,0.00072328795,98
0.0054106206,0.001162392,98
0.098980035,0.000906547949999999,98
0.0674258046,0.0014655564,98
0.0721067886,0.0004853772,98
0.0179079054,0.00082093935,98
0.0022902264,0.00035113925,98
0.0019635,0.000255255,98
1.9635e-05,-5.8905e-07,98
0.0022902264,7.7231e-05,98
0,0,98
0.0041853966,0.0001932084,98
0.0018095616,0.0001343034,98
0.0051530094,6.59735999999999e-05,98
0.0011341176,0.00013332165,98
0.0036316896,3.66520000000001e-05,98
0.0043008504,0.0002960958,98
0.0002835294,2.8421008e-05,98
0.0002544696,5.897045e-05,98
0,1.0390842e-05,98
0.0039592014,0.00064422435,98
0.0015205344,0.00026134185,98
0.003318315,0.0001115268,98
0.000176715,1.22450405e-05,98
0.0027339774,0.00021225435,98
0.000176715,1.49677605e-05,98
0.00031416,1.4074368e-05,98
0.000962115,-2.72533800000001e-06,98
0.000176715,1.0932768e-05,98
0.0010752126,8.737575e-05,98
1.9635e-05,1.4798245e-06,98
0.000962115,0.00024052875,98
0.0035256606,0.00055678315,98
0.0017349486,0.00021382515,98
0.0211241184,0.00109857825,98
0.0072382464,0.000607376,98
0.08042496,0.00064304625,98
0.0196067256,0.000704045649999999,98
0.0764539776,0.0018307674,98
0.043373715,0.00064141,98
0.0031172526,7.01624e-05,98
0.00125664,5.30144999999999e-06,98
0.000490875,0.0001036728,98
0.0022061886,0.00063715575,98
0,0,98
0.0011945934,5.124735e-05,98
0.0007547694,5.38588049999999e-06,98
0,7.3890432e-05,98
1.9635e-05,1.0115952e-05,98
1.9635e-05,5.5796125e-06,98
9.50334e-05,-7.91945e-06,98
0.0018857454,7.847455e-05,98
0.0024630144,5.451985e-05,98
0.003318315,0.00152701395,98
0.0024630144,0.0004233306,98
0.0043008504,0.00036318205,98
0.0004154766,0.00010386915,98
0.0014522046,0.00027718075,98
0,0.00012101705,98
0.00950334,0.00116690805,98
0.03463614,0.00123707045,98
0.0083323086,0.00018633615,98
0.184745715,0,98
0.047143635,9.68005500000003e-05,98
0.0025517646,0.00020623295,98
0.0024630144,0.00024563385,98
0.0040715136,0.00020269865,98
0.0018857454,0.00069344275,98
0,2.7774362e-05,98
0.0006605214,0.0002387616,98
0.0058088184,0.001108723,98
